objectid,codbairro,bairro,area_planejamento,cod_rp,rp,ra,regiao_adm,total_transações,uso,média_percentual_transferido,média_área_terreno,média_valor_transações,média_valor_imóvel,principal_transação_mercado,ano_transação,mês_transação
887881,48,Vigário Geral             ,3,3.5,Penha,31,VIGARIO GERAL           ,1,TERRITORIAL,100,500,40229.9,40229.9,COMPRA E VENDA,2010,12
887882,106,Guadalupe                 ,3,3.6,Pavuna,22,ANCHIETA                ,1,TERRITORIAL,100,135,3984.7,3984.7,COMPRA E VENDA,2010,12
887883,42,Olaria                    ,3,3.1,Ramos,10,RAMOS                   ,6,TERRITORIAL,100,360,63758.01,63758.01,COMPRA E VENDA,2010,11
887884,73,Vicente de Carvalho       ,3,3.3,Madureira,14,IRAJA                   ,1,TERRITORIAL,100,2021,165106.83,165106.83,COMPRA E VENDA,2010,11
887885,55,Engenho da Rainha         ,3,3.4,Inhaúma,12,INHAUMA                 ,1,TERRITORIAL,100,120,13736.63,13736.63,COMPRA E VENDA,2010,12
887886,140,Padre Miguel              ,5,5.1,Bangu,17,BANGU                   ,4,TERRITORIAL,100,168.25,15353.54,15353.54,COMPRA E VENDA,2010,12
887887,89,Bento Ribeiro             ,3,3.3,Madureira,15,MADUREIRA               ,1,TERRITORIAL,100,160,17275.32,17275.32,COMPRA E VENDA,2010,11
887888,40,Bonsucesso                ,3,3.1,Ramos,10,RAMOS                   ,1,TERRITORIAL,100,811,126412.61,126412.61,COMPRA E VENDA,2010,12
887889,138,Magalhães Bastos          ,5,5.1,Bangu,33,REALENGO                ,1,TERRITORIAL,100,225,19758.88,19758.88,COMPRA E VENDA,2010,12
887890,79,Quintino Bocaiúva         ,3,3.3,Madureira,15,MADUREIRA               ,1,TERRITORIAL,100,90,16071.05,16071.05,COMPRA E VENDA,2010,12
887891,137,Jardim Sulacap            ,5,5.1,Bangu,33,REALENGO                ,40,TERRITORIAL,3068,8059575,19865.73475,3243726.81625,COMPRA E VENDA,2010,11
887892,145,Senador Vasconcelos       ,5,5.2,Campo Grande,18,CAMPO GRANDE            ,1,TERRITORIAL,100,133,5300.43,5300.43,COMPRA E VENDA,2010,11
887893,120,Freguesia (Jacarepaguá)   ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,4,TERRITORIAL,100,697.5,218946035,218946035,COMPRA E VENDA,2010,12
