objectid,codbairro,bairro,area_planejamento,cod_rp,rp,ra,regiao_adm,total_transações,uso,média_percentual_transferido,média_área_terreno,média_valor_transações,média_valor_imóvel,principal_transação_mercado,ano_transação
376887,98,Freguesia (Ilha)          ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,1,TERRITORIAL,100,444,85994.71,85994.71,COMPRA E VENDA,2010
376888,99,Jardim Guanabara          ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,8,TERRITORIAL,89.93,812.75,176504.93,213122.2675,COMPRA E VENDA,2010
376889,86,Rocha Miranda             ,3,3.3,Madureira,15,MADUREIRA               ,1,TERRITORIAL,100,392,9382.59,9382.59,COMPRA E VENDA,2010
376890,72,Vila Kosmos               ,3,3.3,Madureira,14,IRAJA                   ,2,TERRITORIAL,75,39330.5,66402815,124864175,COMPRA E VENDA,2010
376891,148,Paciência                 ,5,5.3,Santa Cruz,19,SANTA CRUZ              ,3,TERRITORIAL,100,250,12809.726666,12809.726666,COMPRA E VENDA,2010
376892,143,Santíssimo                ,5,5.2,Campo Grande,18,CAMPO GRANDE            ,10,TERRITORIAL,87.5,218.8,12468.74,14009956,COMPRA E VENDA,2010
376893,149,Santa Cruz                ,5,5.3,Santa Cruz,19,SANTA CRUZ              ,12,TERRITORIAL,100,931.666666,15807.086666,15807.086666,COMPRA E VENDA,2010
376894,78,Campinho                  ,3,3.3,Madureira,15,MADUREIRA               ,1,TERRITORIAL,100,1485,159865.71,159865.71,COMPRA E VENDA,2010
376895,147,Cosmos                    ,5,5.2,Campo Grande,18,CAMPO GRANDE            ,23,TERRITORIAL,100,211.47826,27110.116956,27110.116956,COMPRA E VENDA,2010
376896,124,Praça Seca                ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,4,TERRITORIAL,100,695.5,105894.2725,105894.2725,COMPRA E VENDA,2010
376897,63,Méier                     ,3,3.2,Méier,13,MEIER                   ,2,TERRITORIAL,100,255.5,95158.06,95158.06,COMPRA E VENDA,2010
376898,123,Tanque                    ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,1,TERRITORIAL,100,237,49387.48,49387.48,COMPRA E VENDA,2010
376899,121,Pechincha                 ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,7,TERRITORIAL,92.857142,1131.571428,93590.27,98736.197142,COMPRA E VENDA,2010
376900,131,Vargem Grande             ,4,4.2,Barra da Tijuca,24,BARRA DA TIJUCA         ,16,TERRITORIAL,15.685625,10690.8125,71639.38375,21638354.68125,COMPRA E VENDA,2010
376901,119,Curicica                  ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,8,TERRITORIAL,70,342.75,46587.65625,76864.1775,COMPRA E VENDA,2010
